Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",56.253304,38.918000,0.000000,top
"C2","27p","C_0402_1005Metric",44.830804,6.418000,180.000000,top
"C3","27p","C_0402_1005Metric",47.800804,6.418000,0.000000,top
"C4","10u","C_0805_2012Metric",57.340804,26.418000,0.000000,top
"C5","100n","C_0402_1005Metric",44.500804,32.588000,180.000000,top
"C6","100n","C_0402_1005Metric",47.315804,22.903000,90.000000,top
"C7","100n","C_0402_1005Metric",49.815804,8.933000,-90.000000,top
"C8","1u","C_0402_1005Metric",51.315804,21.903000,90.000000,top
"C9","100n","C_0402_1005Metric",48.315804,22.903000,90.000000,top
"C10","1u","C_0402_1005Metric",52.315804,21.903000,90.000000,top
"C11","100n","C_0402_1005Metric",41.830804,18.418000,180.000000,top
"C12","100n","C_0402_1005Metric",54.800804,14.218000,0.000000,top
"C13","100n","C_0402_1005Metric",41.830804,14.218000,180.000000,top
"C14","100n","C_0402_1005Metric",48.696804,8.933000,-90.000000,top
"C15","100n","C_0402_1005Metric",54.800804,19.418000,0.000000,top
"C16","100n","C_0402_1005Metric",54.800804,20.818000,0.000000,top
"C17","100n","C_0402_1005Metric",0.318304,28.499000,0.000000,top
"C18","100n","C_0402_1005Metric",-20.076696,9.449000,90.000000,top
"C19","100n","C_0402_1005Metric",-8.571696,-22.301000,180.000000,top
"C20","100n","C_0402_1005Metric",10.478304,-22.301000,180.000000,top
"C21","100n","C_0402_1005Metric",29.528304,-22.301000,180.000000,top
"C22","100n","C_0402_1005Metric",67.628304,-22.301000,180.000000,top
"C23","100n","C_0402_1005Metric",86.678304,-22.301000,180.000000,top
"C24","100n","C_0402_1005Metric",105.728304,-22.301000,180.000000,top
"C25","100n","C_0402_1005Metric",118.613304,8.179000,-90.000000,top
"C26","100n","C_0402_1005Metric",104.458304,28.499000,0.000000,top
"D1","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",-2.856696,25.324000,0.000000,top
"D2","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",-16.901696,8.814000,90.000000,top
"D3","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",-7.936696,-19.126000,180.000000,top
"D4","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",11.113304,-19.126000,180.000000,top
"D5","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",30.163304,-19.126000,180.000000,top
"D6","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",68.263304,-19.126000,180.000000,top
"D7","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",87.313304,-19.126000,180.000000,top
"D8","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",106.363304,-19.156000,180.000000,top
"D9","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",115.438304,8.814000,-90.000000,top
"D10","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",101.283304,25.324000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",49.097804,46.091000,180.000000,top
"J2","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",41.722820,38.128875,90.000000,top
"R1","1k","C_0402_1005Metric",41.085304,33.103000,90.000000,top
"R2","DNF","C_0402_1005Metric",39.561304,33.103000,-90.000000,top
"R3","27","C_0402_1005Metric",49.315804,21.903000,-90.000000,top
"R4","27","C_0402_1005Metric",50.315804,21.903000,-90.000000,top
"R5","1k","C_0402_1005Metric",47.015804,8.303000,-90.000000,top
"R6","5.11k","R_0402_1005Metric",55.193804,45.073000,-90.000000,top
"R7","5.11k","R_0402_1005Metric",42.747804,45.073000,-90.000000,top
"RV1","PTA4543-2015DPB103","PTAXX43",49.213304,13.894000,0.000000,top
"SW1","LEFT_R","SW_Hotswap_Kailh_MX_1.00u",-7.936696,-14.046000,0.000000,top
"SW2","LEFT_G","SW_Hotswap_Kailh_MX_1.00u",11.113304,-14.046000,0.000000,top
"SW3","LEFT_B","SW_Hotswap_Kailh_MX_1.00u",30.163304,-14.046000,0.000000,top
"SW4","LEFT_START","SW_Hotswap_Kailh_MX_1.00u",28.893304,39.294000,0.000000,top
"SW5","LEFT_WALL","SW_Hotswap_Kailh_MX_2.00u",-2.856696,30.404000,0.000000,top
"SW6","RIGHT_R","SW_Hotswap_Kailh_MX_1.00u",68.263304,-14.046000,0.000000,top
"SW7","RIGHT_G","SW_Hotswap_Kailh_MX_1.00u",87.313304,-14.046000,0.000000,top
"SW8","RIGHT_B","SW_Hotswap_Kailh_MX_1.00u",106.363304,-14.046000,0.000000,top
"SW9","RIGHT_START","SW_Hotswap_Kailh_MX_1.00u",69.533304,39.294000,0.000000,top
"SW10","RIGHT_WALL","SW_Hotswap_Kailh_MX_2.00u",101.283304,30.404000,0.000000,top
"U1","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",56.315804,32.568000,-90.000000,top
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",41.365804,28.143000,0.000000,top
"U3","RP2040","RP2040-QFN-56",48.315804,15.418000,0.000000,top
"Y1","Q22FA23V0041800","Crystal_SMD_3225-4Pin_3.2x2.5mm",46.156804,3.022800,0.000000,top
